shipment_id,vendor,product,revenue,duty_expense,tax_expense,total_landed_cost,hsn_code,category,status,invoice_date,risk_score,risk_level,origin,destination
SHN-08897710,SuperStore,"Canon Fax Machine, High-Speed",5265.950000000001,526.5950000000001,1042.6581,6835.203100000001,TEC-CO-3688,Raw Materials,Paid,2012-10-20,15,Low,Mexico,Mexico
SHN-869DAED5,SuperStore,"Hon Rocking Chair, Adjustable",6522.389999999999,652.239,1291.4332199999997,8466.062219999998,FUR-CH-4681,Raw Materials,Paid,2012-11-17,15,Low,China,China
SHN-527FBEA0,SuperStore,Xerox 1916,156.6,15.66,31.0068,203.2668,OFF-PA-6468,Raw Materials,Paid,2012-07-31,15,Low,United States,United States
SHN-10D73BFD,SuperStore,"SanDisk Memory Card, USB",7207.68,720.768,1427.12064,9355.568640000001,TEC-AC-5875,Raw Materials,Paid,2012-10-05,15,Low,New Zealand,New Zealand
SHN-85D22F58,SuperStore,"Brother Wireless Fax, Laser",9073.26,907.326,1796.5054799999998,11777.09148,TEC-CO-3611,Office Rent,Paid,2012-06-12,5,Low,Cuba,Cuba
SHN-268C6F0B,"Furnishings, Furniture",DAX Wood Document Frame,54.92,5.492000000000001,10.87416,71.28616000000001,FUR-FU-3924,Raw Materials,Paid,2012-05-03,15,Low,,United States
SHN-21AB5241,SuperStore,"Motorola Audio Dock, with Caller ID",589.46,58.946000000000005,116.71308,765.11908,TEC-PH-5249,Logistics Fees,Paid,2012-12-08,5,Low,USA,France
SHN-BAB345A1,SuperStore,"Brother Wireless Fax, Digital Copiers, Technology, TEC-CO-3609",9461.25,946.125,1873.3274999999999,12280.7025,,Raw Materials,Paid,2012-09-26,15,Low,United Kingdom,England
SHN-AFAE8D6D,SuperStore,"GBC White Gloss Covers, Plain Front",72.4,7.240000000000001,14.3352,93.9752,OFF-BI-4377,Raw Materials,Paid,2012-11-17,15,Low,United States,United States
SHN-82F19130,SuperStore,"Cisco Speaker Phone, with Caller ID",1246.32,224.33759999999998,264.718368,1735.375968,8517,Raw Materials,Paid,2012-10-05,15,Low,India,India
SHN-DED745D7,SuperStore,"Hoover Stove, Black",7541.72,754.172,1493.26056,9789.15256,OFF-AP-4742,Raw Materials,Paid,2012-12-05,15,Low,Indonesia,Indonesia
SHN-46468593,SuperStore,"Smead Lockers, Wire Frame",7109.64,710.964,1407.70872,9228.31272,OFF-ST-6049,Raw Materials,Paid,2013-02-01,15,Low,China,USA
SHN-89430F02,SuperStore,"Safco Library with Doors, Pine",19165.86,1916.5860000000002,3794.84028,24877.28628,,Raw Materials,Pending,2013-02-05,15,Low,India,India
SHN-2A7E06A1,SuperStore,"Bush Library with Doors, Metal",5820.48,582.048,1152.4550399999998,7554.983039999999,None,Raw Materials,Paid,2012-08-03,15,Low,India,India
SHN-60BF224E,"Machines, Technology, TEC-MA-5507","Okidata Phone, Red",5376.0,537.6,1064.448,6978.048000000001,,Raw Materials,Pending,2012-06-09,15,Low,Japan,Japan
SHN-18910BC7,Rob Dowd,"Breville Microwave, Red",4827.36,482.736,955.8172799999999,6265.91328,OFF-AP-3571,Raw Materials,Paid,2012-11-02,15,Low,Spain,Spain
SHN-B00A9BE8,SuperStore,"Safco Library with Doors, Traditional",12629.16,1262.9160000000002,2500.57368,16392.649680000002,FUR-BO-5788,Raw Materials,Paid,2012-09-20,15,Low,Honduras,Honduras
SHN-C3952627,SuperStore,"Logitech Memory Card, Erganomic",10119.0,1011.9000000000001,2003.562,13134.462,TEC-AC-5122,Raw Materials,Paid,2012-03-06,15,Low,Saudi Arabia,Saudi Arabia
SHN-31653277,,,0.0,0.0,0.0,0.0,,,Paid,2023-06-05,5,Low,,
SHN-DFC8EED9,SuperStore,"Rogers Lockers, Single Width",8607.83,860.783,1704.3503399999997,11172.963339999998,OFF-ST-5702,Raw Materials,Paid,2013-01-01,15,Low,Indonesia,Indonesia
SHN-BA2567A4,SuperStore,Case Logic 2.4GHz Wireless Keyboard,199.96,19.996000000000002,39.59208,259.54808,TEC-AC-3748,Raw Materials,Pending,2012-07-22,15,Low,,United States
SHN-873C0927,,,0.0,0.0,0.0,0.0,,,Paid,2023-06-05,5,Low,,
SHN-94D2A523,SuperStore,"Apple Smart Phone, Cordless",2545.2,254.51999999999998,503.9495999999999,3303.6695999999997,TEC-PH-3147,Raw Materials,Paid,2012-11-06,15,Low,Bulgaria,Bulgaria
SHN-161DB520,SuperStore,"Dania Library with Doors, Metal",23448.51,2344.851,4642.804979999999,30436.165979999998,,Raw Materials,Paid,2012-08-02,15,Low,South Korea,South Korea
SHN-ACEA3803,SuperStore,"KitchenAid Stove, Red",8210.16,821.0160000000001,1625.6116799999998,10656.78768,OFF-AP-4965,Raw Materials,Paid,2012-06-01,15,Low,United Kingdom,United Kingdom
SHN-EC60A9D2,Tom Prescott,"SAFCO Executive Leather Armchair, Adjustable",1237.12,123.71199999999999,244.94975999999997,1605.7817599999998,FUR-CH-5773,Raw Materials,Paid,2012-02-09,15,Low,Cuba,Cuba
SHN-F1C185CD,SuperStore,"Smead Lockers, Wire Frame",1184.94,118.49400000000001,234.61811999999998,1538.0521199999998,OFF-ST-6049,Raw Materials,Paid,2012-06-05,15,Low,Cuba,Cuba
SHN-49AE8C36,"Accessories, Technology, TEC-AC-5894","SanDisk Router, Bluetooth",4101.6,410.1600000000001,812.1168,5323.8768,,Logistics Fees,Paid,2012-05-12,5,Low,Italy,Italy
SHN-3E96BE24,SuperStore,"Tenex File Cart, Single Width",3018.6000000000004,301.86000000000007,597.6828,3918.1428000000005,OFF-ST-6248,Office Rent,Paid,2012-11-09,5,Low,Germany,Germany
SHN-24D80B3C,SuperStore,"Nokia Smart Phone, Full Size",2544.24,254.42399999999998,503.75951999999995,3302.42352,TEC-PH-5355,Raw Materials,Paid,2012-05-22,15,Low,,New Zealand
